YIELD,NXTOP4,N2XTOP4,OBS,N,N2,BV,BV2,NXBV,BVXT4,BV2XT4
91.97,75.4,5685.16,1231,75.4,5685.16,129.92,16879.206,9795.968,129.92,16879.21
100.52,75.4,5685.16,1232,75.4,5685.16,139.78,19538.448,10539.412,139.78,19538.45
89.27,75.4,5685.16,1233,75.4,5685.16,153.92,23691.366,11605.568,153.92,23691.37
86.56,75.4,5685.16,1234,75.4,5685.16,100.92,10184.846,7609.368,100.92,10184.85
80.05,75.4,5685.16,1235,75.4,5685.16,171.65,29463.723,12942.41,171.65,29463.72
96.28,75.4,5685.16,1236,75.4,5685.16,174.76,30541.058,13176.904,174.76,30541.06
93.89,75.4,5685.16,1237,75.4,5685.16,170.48,29063.43,12854.192,170.48,29063.43
96.53,75.4,5685.16,1238,75.4,5685.16,180.05,32418.003,13575.77,180.05,32418
85.9,75.4,5685.16,1239,75.4,5685.16,197.05,38828.703,14857.57,197.05,38828.7
84.56,75.4,5685.16,1240,75.4,5685.16,191.35,36614.822,14427.79,191.35,36614.82
80.58,75.4,5685.16,1241,75.4,5685.16,172.94,29908.244,13039.676,172.94,29908.24
69.19,75.4,5685.16,1242,75.4,5685.16,173.73,30182.113,13099.242,173.73,30182.11
58.89,75.4,5685.16,1243,75.4,5685.16,181.27,32858.813,13667.758,181.27,32858.81
61.1,75.4,5685.16,1244,75.4,5685.16,180.11,32439.612,13580.294,180.11,32439.61
55,75.4,5685.16,1245,75.4,5685.16,182.42,33277.056,13754.468,182.42,33277.06
54.55,75.4,5685.16,1246,75.4,5685.16,182.83,33426.809,13785.382,182.83,33426.81
50.21,75.4,5685.16,1247,75.4,5685.16,178.68,31926.542,13472.472,178.68,31926.54
54.24,75.4,5685.16,1248,75.4,5685.16,178.57,31887.245,13464.178,178.57,31887.24
54.57,75.4,5685.16,1249,75.4,5685.16,178.42,31833.696,13452.868,178.42,31833.7
53.69,75.4,5685.16,1250,75.4,5685.16,178.56,31883.674,13463.424,178.56,31883.67
55.78,75.4,5685.16,1251,75.4,5685.16,180.68,32645.262,13623.272,180.68,32645.26
57.46,75.4,5685.16,1252,75.4,5685.16,184.76,34136.258,13930.904,184.76,34136.26
54.77,75.4,5685.16,1253,75.4,5685.16,178.81,31973.016,13482.274,178.81,31973.02
56.65,75.4,5685.16,1254,75.4,5685.16,172.56,29776.954,13011.024,172.56,29776.95
52.47,75.4,5685.16,1255,75.4,5685.16,168.52,28398.99,12706.408,168.52,28398.99
49.05,75.4,5685.16,1256,75.4,5685.16,168.89,28523.832,12734.306,168.89,28523.83
88.28,99.8,9960.04,1326,99.8,9960.04,135.48,18354.83,13520.904,135.48,18354.83
92.03,99.8,9960.04,1327,99.8,9960.04,164.28,26987.918,16395.144,164.28,26987.92
90.19,99.8,9960.04,1328,99.8,9960.04,91.74,8416.228,9155.652,91.74,8416.23
82.52,99.8,9960.04,1329,99.8,9960.04,166.24,27635.738,16590.752,166.24,27635.74
85.22,99.8,9960.04,1330,99.8,9960.04,172.75,29842.563,17240.45,172.75,29842.56
108.45,99.8,9960.04,1331,99.8,9960.04,174.05,30293.403,17370.19,174.05,30293.4
100.47,99.8,9960.04,1332,99.8,9960.04,175.02,30632,17466.996,175.02,30632
87.25,99.8,9960.04,1333,99.8,9960.04,176.35,31099.322,17599.73,176.35,31099.32
81.54,99.8,9960.04,1334,99.8,9960.04,173.53,30112.661,17318.294,173.53,30112.66
87.13,99.8,9960.04,1335,99.8,9960.04,172.98,29922.08,17263.404,172.98,29922.08
75.63,99.8,9960.04,1336,99.8,9960.04,190.5,36290.25,19011.9,190.5,36290.25
70.17,99.8,9960.04,1337,99.8,9960.04,192.66,37117.876,19227.468,192.66,37117.88
67.22,99.8,9960.04,1338,99.8,9960.04,183.37,33624.557,18300.326,183.37,33624.56
59.56,99.8,9960.04,1339,99.8,9960.04,177.15,31382.123,17679.57,177.15,31382.12
55.12,99.8,9960.04,1340,99.8,9960.04,182.34,33247.876,18197.532,182.34,33247.88
54.14,99.8,9960.04,1341,99.8,9960.04,181.94,33102.164,18157.612,181.94,33102.16
54.2,99.8,9960.04,1342,99.8,9960.04,182,33124,18163.6,182,33124
55.01,99.8,9960.04,1343,99.8,9960.04,183.13,33536.597,18276.374,183.13,33536.6
57.09,99.8,9960.04,1344,99.8,9960.04,181.33,32880.569,18096.734,181.33,32880.57
53.46,99.8,9960.04,1345,99.8,9960.04,183.09,33521.948,18272.382,183.09,33521.95
55.56,99.8,9960.04,1346,99.8,9960.04,179.8,32328.04,17944.04,179.8,32328.04
57.49,99.8,9960.04,1347,99.8,9960.04,177.57,31531.105,17721.486,177.57,31531.11
57.73,99.8,9960.04,1348,99.8,9960.04,172.8,29859.84,17245.44,172.8,29859.84
54.37,99.8,9960.04,1349,99.8,9960.04,172.02,29590.88,17167.596,172.02,29590.88
46.58,99.8,9960.04,1350,99.8,9960.04,174.71,30523.584,17436.058,174.71,30523.58
52.2,99.8,9960.04,1351,99.8,9960.04,175.02,30632,17466.996,175.02,30632
94.06,50.6,2560.36,1514,50.6,2560.36,162.05,26260.203,8199.73,162.05,26260.2
101.46,50.6,2560.36,1515,50.6,2560.36,127.76,16322.618,6464.656,127.76,16322.62
98.95,50.6,2560.36,1516,50.6,2560.36,133.39,17792.892,6749.534,133.39,17792.89
100.55,50.6,2560.36,1517,50.6,2560.36,169.45,28713.302,8574.17,169.45,28713.3
92.2,50.6,2560.36,1518,50.6,2560.36,168.74,28473.188,8538.244,168.74,28473.19
90.26,50.6,2560.36,1519,50.6,2560.36,170.8,29172.64,8642.48,170.8,29172.64
85.85,50.6,2560.36,1520,50.6,2560.36,169.69,28794.696,8586.314,169.69,28794.7
87.66,50.6,2560.36,1521,50.6,2560.36,171.43,29388.245,8674.358,171.43,29388.24
82.94,50.6,2560.36,1522,50.6,2560.36,169.74,28811.668,8588.844,169.74,28811.67
72.12,50.6,2560.36,1523,50.6,2560.36,171.25,29326.563,8665.25,171.25,29326.56
66.55,50.6,2560.36,1524,50.6,2560.36,177.31,31438.836,8971.886,177.31,31438.84
59.23,50.6,2560.36,1525,50.6,2560.36,177.84,31627.066,8998.704,177.84,31627.07
59.95,50.6,2560.36,1526,50.6,2560.36,180.04,32414.402,9110.024,180.04,32414.4
53.84,50.6,2560.36,1527,50.6,2560.36,184.1,33892.81,9315.46,184.1,33892.81
55.24,50.6,2560.36,1528,50.6,2560.36,180.69,32648.876,9142.914,180.69,32648.88
50.57,50.6,2560.36,1529,50.6,2560.36,181.06,32782.724,9161.636,181.06,32782.72
52.6,50.6,2560.36,1530,50.6,2560.36,188.3,35456.89,9527.98,188.3,35456.89
55.5,50.6,2560.36,1531,50.6,2560.36,202.83,41140.009,10263.198,202.83,41140.01
54.48,50.6,2560.36,1532,50.6,2560.36,182.54,33320.852,9236.524,182.54,33320.85
52.52,50.6,2560.36,1533,50.6,2560.36,179.55,32238.203,9085.23,179.55,32238.2
53.45,50.6,2560.36,1534,50.6,2560.36,176.58,31180.496,8934.948,176.58,31180.5
57.3,50.6,2560.36,1535,50.6,2560.36,180.37,32533.337,9126.722,180.37,32533.34
53,50.6,2560.36,1536,50.6,2560.36,177.84,31627.066,8998.704,177.84,31627.07
59.03,50.6,2560.36,1537,50.6,2560.36,178.07,31708.925,9010.342,178.07,31708.92
56.75,50.6,2560.36,1538,50.6,2560.36,180.03,32410.801,9109.518,180.03,32410.8
86.66,39,1521,1610,39,1521,142.55,20320.503,5559.45,142.55,20320.5
102.16,39,1521,1611,39,1521,131.17,17205.569,5115.63,131.17,17205.57
90.75,39,1521,1612,39,1521,173.43,30077.965,6763.77,173.43,30077.97
88.97,39,1521,1613,39,1521,171.35,29360.822,6682.65,171.35,29360.82
99.69,39,1521,1614,39,1521,171.22,29316.288,6677.58,171.22,29316.29
87.66,39,1521,1615,39,1521,176.6,31187.56,6887.4,176.6,31187.56
81.12,39,1521,1616,39,1521,171.2,29309.44,6676.8,171.2,29309.44
84.23,39,1521,1617,39,1521,170.45,29053.202,6647.55,170.45,29053.2
69.63,39,1521,1618,39,1521,172.44,29735.554,6725.16,172.44,29735.55
66.54,39,1521,1619,39,1521,175,30625,6825,175,30625
63,39,1521,1620,39,1521,179.39,32180.772,6996.21,179.39,32180.77
55.05,39,1521,1621,39,1521,176.28,31074.638,6874.92,176.28,31074.64
56.69,39,1521,1622,39,1521,180.43,32554.985,7036.77,180.43,32554.99
56.01,39,1521,1623,39,1521,182.05,33142.203,7099.95,182.05,33142.2
59.81,39,1521,1624,39,1521,179.92,32371.206,7016.88,179.92,32371.21
55.69,39,1521,1625,39,1521,182.25,33215.063,7107.75,182.25,33215.06
54.6,39,1521,1626,39,1521,182.09,33156.768,7101.51,182.09,33156.77
47.88,39,1521,1627,39,1521,182.27,33222.353,7108.53,182.27,33222.35
56.59,39,1521,1628,39,1521,180.58,32609.136,7042.62,180.58,32609.14
52.84,39,1521,1629,39,1521,185.21,34302.744,7223.19,185.21,34302.74
53.43,39,1521,1630,39,1521,194.44,37806.914,7583.16,194.44,37806.91
57.22,39,1521,1631,39,1521,188.58,35562.416,7354.62,188.58,35562.42
62.6,39,1521,1632,39,1521,178.59,31894.388,6965.01,178.59,31894.39
58.82,39,1521,1633,39,1521,181.14,32811.7,7064.46,181.14,32811.7
57.96,39,1521,1634,39,1521,185.17,34287.929,7221.63,185.17,34287.93
